qoi,mean_p,mean_GCI21_percent,mean_GCI32_percent,mean_beta,num_triplets,all_monotone
Mean ux [mm],0.40078519097083437,0.14551404481681393,0.2725060806625835,2.2634121013928157,3,0
Mean S [–],1.1888872724059445,13.510777722929605,14.71411117642557,1.1568258389414547,3,1
Mean rho [–],1.5623827909893404,0.7800697782342801,0.420362663855423,1.0386079176426177,3,1
Anisotropy [–],2.63960331215445,0.03652855408678824,0.027408851547183696,6.172680721677248,3,0
Strain energy [Pa],1.1035274666716324,0.9288433788941832,1.1278256225339436,1.1853245562214765,3,1
