qoi,mean_p,mean_GCI21_percent,mean_GCI32_percent,mean_beta,num_triplets,all_monotone
Mean ux [mm],2.1138007687174887,0.3078064497844704,0.13856354075807928,1.0925965839104654,3,1
Mean S [–],1.9772827849445103,3.856693805471101,1.7606218971645176,1.0678759658991044,3,1
Mean rho [–],2.099811498997869,0.16930046522289535,0.11114287049248413,1.3425759018456909,3,1
Anisotropy [–],1.9313280602490408,0.20692494227695166,0.2034762851540395,5.650610575697523,3,0
Strain energy [Pa],1.9802159714116694,0.33294401120209777,0.1518338217871054,1.069444186730033,3,1
