step,iter,time_days,proj_res,aa_step_res,mech_iters,fab_iters,stim_iters,dens_iters,mech_time,fab_time,stim_time,dens_time,accepted,restart,condH,aa_hist,memory_mb
1,1,25.0,0.9055137374779745,0.45275686873898724,38,7,7,6,0.3220378040568903,0.5265786320669577,0.0028881430625915527,0.004653809010051191,1,0,1.0,1,458.16015625
1,2,25.0,0.44453841385815024,0.22707626219502752,38,7,7,5,0.2963360068388283,0.539295781054534,0.002523249015212059,0.0032036949414759874,1,0,101.60668999980314,2,460.28515625
1,3,25.0,0.23542034378665683,0.11728320416075004,38,7,7,5,0.32905199204105884,0.535883239004761,0.005103608942590654,0.005316770984791219,1,0,185.04070069359724,3,460.953125
1,4,25.0,0.11241162921678957,0.06105203423348568,38,6,7,5,0.30767234205268323,0.489210273954086,0.002283624024130404,0.0033038300462067127,1,0,1143.4382087622585,4,461.0234375
1,5,25.0,0.06460678755988244,0.060795980294113025,38,6,6,5,0.3627536039566621,0.5193953750422224,0.0019763639429584146,0.003784095053561032,1,0,1588.2121958717864,5,461.03125
1,6,25.0,0.024830287548298042,0.01349676054610249,38,5,6,5,0.3192086621420458,0.45265922602266073,0.002230654936283827,0.0036494419910013676,1,0,5634.77949451291,6,461.40625
1,7,25.0,0.0156032689658296,0.006904727829790615,38,5,6,4,0.3171467169886455,0.4837158379377797,0.0022251890040934086,0.003945984062738717,1,0,3107.776270469284,6,461.66015625
1,8,25.0,0.008483006380235133,0.0035586896423593023,38,5,6,4,0.34508685511536896,0.4864270699908957,0.002165089943446219,0.003392585087567568,1,0,2542.872236841476,6,461.66015625
1,9,25.0,0.00377735038570177,0.0016053379797430986,38,4,5,4,0.34649953397456557,0.39835275092627853,0.0018855449743568897,0.0034949559485539794,1,0,3209.093126052901,6,461.66015625
1,10,25.0,0.0025571237853631765,0.0006777600329661015,38,4,5,4,0.32643740996718407,0.4121422099415213,0.001919153961353004,0.0034431330859661102,1,0,5420.472479529168,6,461.6875
1,11,25.0,0.0009851852240404051,0.00030328686777905163,38,4,5,3,0.32520293805282563,0.44100347300991416,0.00223249604459852,0.0031254790956154466,1,0,3374.548250478626,6,461.6875
1,12,25.0,0.0004928982442198877,0.00020585826678517997,38,3,4,3,0.3258950678864494,0.37716225802432746,0.0016719730338081717,0.0031186429550871253,1,0,6432.470022319395,6,461.6875
1,13,25.0,0.00020003655326619572,9.261779250575296e-05,38,3,4,3,0.31932944094296545,0.4133543550269678,0.0016634910134598613,0.003443649038672447,1,0,9537.70356715367,6,461.6875
1,14,25.0,7.835896356052884e-05,3.4827498072927876e-05,38,2,4,2,0.2877290438627824,0.35944365500472486,0.0017498390516266227,0.002907581045292318,1,0,10303.383807094362,6,461.6875
