step,iter,time_days,proj_res,aa_step_res,mech_iters,fab_iters,stim_iters,dens_iters,mech_time,fab_time,stim_time,dens_time,accepted,restart,condH,aa_hist,memory_mb
1,1,25.0,0.905513560841332,0.452756780420666,44,7,7,6,0.3516346358228475,0.5526681951014325,0.002961752936244011,0.0037947839591652155,1,0,1.0,1,458.18359375
1,2,25.0,0.44453985607308505,0.22707780627047197,41,7,7,5,0.37020091200247407,0.5427677759435028,0.002197148045524955,0.003274261951446533,1,0,101.60795871189987,2,460.55859375
1,3,25.0,0.23542018714530108,0.11728400373375213,41,7,7,5,0.34853430616203696,0.5265836800681427,0.0023415039759129286,0.0033796189818531275,1,0,185.0459655439844,3,460.59375
1,4,25.0,0.11241082194875088,0.061051916782852864,41,6,7,5,0.33765716198831797,0.5104621750069782,0.0022928579710423946,0.0044565279968082905,1,0,1143.4375637712321,4,460.59765625
1,5,25.0,0.0646065830919856,0.060795089484371664,41,6,6,5,0.3651184819173068,0.48947883304208517,0.0020217200508341193,0.007845591055229306,1,0,1588.3442185126346,5,461.36328125
1,6,25.0,0.02482375730952096,0.013495613092476008,41,5,6,5,0.332333454862237,0.4641237090108916,0.0033364309929311275,0.0033295570174232125,1,0,5634.588797904096,6,461.3671875
1,7,25.0,0.015601495495167102,0.006904494942840759,41,5,6,4,0.3775779608404264,0.4757351219886914,0.0020963919814676046,0.0033650200348347425,1,0,3108.0251418151734,6,461.74609375
1,8,25.0,0.008483135044142328,0.0035585971767222347,41,5,6,4,0.34783117403276265,0.4559100520564243,0.0020121049601584673,0.003870240063406527,1,0,2543.002090799842,6,461.96875
1,9,25.0,0.0037769180572363985,0.0016052439664184805,41,4,5,4,0.4073387059615925,0.435620260075666,0.0019241470145061612,0.004789715982042253,1,0,3209.6891455842897,6,462.015625
1,10,25.0,0.0025563579852015206,0.000677663354466281,41,4,5,4,0.3227934647584334,0.4280669849831611,0.0020418280037119985,0.003382227965630591,1,0,5422.666124976454,6,462.05078125
1,11,25.0,0.0009846932168940299,0.00030320174643142796,41,4,5,3,0.3253540387377143,0.4237031639786437,0.014060518005862832,0.0032408920815214515,1,0,3374.172478507095,6,462.0546875
1,12,25.0,0.0004926146683289977,0.00020577774737378415,41,3,4,3,0.354996187845245,0.3705753228859976,0.005041340016759932,0.0032198160188272595,1,0,6435.126176705998,6,462.0546875
1,13,25.0,0.00019997330721213135,9.25811633331068e-05,41,3,4,3,0.34346795396413654,0.3681285729398951,0.0016971760196611285,0.0031073810532689095,1,0,9544.933408954605,6,462.0546875
1,14,25.0,7.831549678715206e-05,3.4809100167184055e-05,41,2,4,2,0.33147039904724807,0.3527800140436739,0.0017410720465704799,0.0028148089768365026,1,0,10306.481383290817,6,462.0546875
