step,iter,time_days,proj_res,aa_step_res,mech_iters,fab_iters,stim_iters,dens_iters,mech_time,fab_time,stim_time,dens_time,accepted,restart,condH,aa_hist,memory_mb
1,1,25.0,0.9055136980260882,0.4527568490130441,38,7,7,6,0.3363455740036443,0.510056619066745,0.016242341022007167,0.01217149500735104,1,0,1.0,1,455.97265625
1,2,25.0,0.44453843756324146,0.22707636569297532,39,7,7,5,0.331065007019788,0.5384781709872186,0.002370232017710805,0.004293278907425702,1,0,101.60611400368212,2,458.34765625
1,3,25.0,0.2354202248479988,0.11728296141658606,39,7,7,5,0.35334670718293637,0.5638468560064211,0.002257382031530142,0.00516044907271862,1,0,185.03897476881767,3,458.34765625
1,4,25.0,0.11241148014244372,0.06105183409675761,39,6,7,5,0.35027179797179997,0.4966196089517325,0.002311259973794222,0.004820673959329724,1,0,1143.4707530247363,4,458.34765625
1,5,25.0,0.06460707249579288,0.06079618352980933,38,6,6,5,0.3391888248734176,0.5249722409062088,0.0022854559356346726,0.0036036940291523933,1,0,1588.2141528178436,5,459.16015625
1,6,25.0,0.024829883070739148,0.013496771913866891,38,5,6,5,0.36483664193656296,0.49957992997951806,0.0034488970413804054,0.003951168968342245,1,0,5634.828931675357,6,459.16796875
1,7,25.0,0.015603359725886272,0.006904625063173397,38,5,6,4,0.3821266609011218,0.48279799602460116,0.013715412933379412,0.08842915901914239,1,0,3107.854385073546,6,459.42578125
1,8,25.0,0.008482592004768637,0.0035586043870170026,38,5,6,4,0.3403974662069231,0.6084123370237648,0.0021439719712361693,0.0034618800273165107,1,0,2542.9902310924836,6,459.42578125
1,9,25.0,0.0037773654838649906,0.0016053196068928704,38,4,5,4,0.2880457800347358,0.431720536085777,0.001960585010237992,0.003332106047309935,1,0,3209.1705084103874,6,459.49609375
1,10,25.0,0.002557102414604549,0.0006777533936326858,38,4,5,4,0.3127466019941494,0.44459183304570615,0.003971772035583854,0.005492047988809645,1,0,5420.849653129844,6,459.49609375
1,11,25.0,0.0009851809418954193,0.0003032800663666865,38,4,5,3,0.28607283206656575,0.4253365960903466,0.001902154996059835,0.0031236089998856187,1,0,3374.622502816624,6,459.49609375
1,12,25.0,0.0004928841557729073,0.00020585253401506323,38,3,4,3,0.31363893987145275,0.4089094549417496,0.0016953200101852417,0.00307434203568846,1,0,6433.195355072315,6,459.49609375
1,13,25.0,0.00020002965181870912,9.26166103670837e-05,38,3,4,3,0.3554284938145429,0.3913363130996004,0.0016813819529488683,0.006204160046763718,1,0,9537.681684445211,6,459.49609375
1,14,25.0,7.835895345242008e-05,3.4827696799146544e-05,38,2,4,2,0.35319517902098596,0.3638156430097297,0.0017421799711883068,0.005871237022802234,1,0,10303.978028413912,6,459.49609375
