step,iter,time_days,proj_res,aa_step_res,mech_iters,fab_iters,stim_iters,dens_iters,mech_time,fab_time,stim_time,dens_time,accepted,restart,condH,aa_hist,memory_mb
1,1,25.0,0.9055137374779506,0.4527568687389753,38,7,7,6,0.3327552890405059,0.5340015839319676,0.002508455072529614,0.004009780008345842,1,0,1.0,1,459.68359375
1,2,25.0,0.444538413857699,0.22707626219447372,38,7,7,5,0.3003461379557848,0.5165874699596316,0.0024038830306380987,0.0034995219903066754,1,0,101.60669000045372,2,461.18359375
1,3,25.0,0.23542034378675764,0.11728320416054618,38,7,7,5,0.3522489982424304,0.5377082200720906,0.0032231559744104743,0.0032255559926852584,1,0,185.0407006902472,3,461.30859375
1,4,25.0,0.11241162921795822,0.06105203423414986,38,6,7,5,0.33487849892117083,0.4932255110470578,0.008486944949254394,0.0032254699617624283,1,0,1143.438208635399,4,461.30859375
1,5,25.0,0.06460678756027598,0.06079598029475782,38,6,6,5,0.2947813110658899,0.4951890839729458,0.0020226859487593174,0.0033305800752714276,1,0,1588.2121958274463,5,461.30859375
1,6,25.0,0.024830287550127377,0.013496760546323377,38,5,6,5,0.3550780611112714,0.47239361598622054,0.003331019077450037,0.0033171989489346743,1,0,5634.7794943273575,6,462.30859375
1,7,25.0,0.015603268966668478,0.006904727830111288,38,5,6,4,0.3298402720829472,0.4425860029878095,0.002068171976134181,0.003238904057070613,1,0,3107.776270076319,6,462.33203125
1,8,25.0,0.008483006380735382,0.0035586896425172402,38,5,6,4,0.3222464609425515,0.5426990269916132,0.0023061460815370083,0.03254673909395933,1,0,2542.872236682981,6,462.33203125
1,9,25.0,0.003777350386242863,0.001605337979872463,38,4,5,4,0.30892657197546214,0.46164836804382503,0.0019711930071935058,0.0066042819526046515,1,0,3209.0931253205035,6,462.33203125
1,10,25.0,0.002557123784967034,0.0006777600330176119,38,4,5,4,0.28697016288060695,0.42829182592686266,0.0019424690399318933,0.0034084030194208026,1,0,5420.472480829054,6,462.33203125
1,11,25.0,0.0009851852243747666,0.0003032868677715311,38,4,5,3,0.28493438696023077,0.44820315204560757,0.001902972930110991,0.0030647829407826066,1,0,3374.548248499691,6,462.33203125
1,12,25.0,0.0004928982439172908,0.00020585826685725456,38,3,4,3,0.33490740100387484,0.4095542359864339,0.0018178160535171628,0.003166108042933047,1,0,6432.470011119225,6,463.05078125
1,13,25.0,0.0002000365534140809,9.261779262165558e-05,38,3,4,3,0.31827672105282545,0.39652802504133433,0.0017120540142059326,0.003080627997405827,1,0,9537.703540577675,6,463.05078125
1,14,25.0,7.835896363182855e-05,3.4827498099386156e-05,38,2,4,2,0.34310109401121736,0.3454964030534029,0.006255860906094313,0.0029095029458403587,1,0,10303.383786796165,6,463.05078125
